D_e : 0.195233, D_real_e : 0.180233, D_fake_e : 0.015000, G_e : 1.695451
D_e : 0.201211, D_real_e : 0.176585, D_fake_e : 0.024626, G_e : 1.069733
D_e : 0.325538, D_real_e : 0.282001, D_fake_e : 0.043537, G_e : 1.687580
D_e : 0.285095, D_real_e : 0.265505, D_fake_e : 0.019590, G_e : 1.513467
D_e : 0.357751, D_real_e : 0.229200, D_fake_e : 0.128552, G_e : 1.641258
D_e : 0.112339, D_real_e : 0.057883, D_fake_e : 0.054456, G_e : 1.602736
D_e : 0.146422, D_real_e : 0.096765, D_fake_e : 0.049657, G_e : 1.638265
D_e : 0.111568, D_real_e : 0.064508, D_fake_e : 0.047060, G_e : 1.443487
D_e : 0.095771, D_real_e : 0.044937, D_fake_e : 0.050833, G_e : 1.363833
D_e : 0.141675, D_real_e : 0.021911, D_fake_e : 0.119764, G_e : 1.666046
D_e : 0.093152, D_real_e : 0.037714, D_fake_e : 0.055439, G_e : 1.726025
D_e : 0.188007, D_real_e : 0.178610, D_fake_e : 0.009396, G_e : 1.069716
D_e : 0.228298, D_real_e : 0.132908, D_fake_e : 0.095390, G_e : 2.185532
D_e : 0.213291, D_real_e : 0.190984, D_fake_e : 0.022308, G_e : 1.979920
D_e : 0.354306, D_real_e : 0.298456, D_fake_e : 0.055850, G_e : 0.584156
D_e : 0.138348, D_real_e : 0.120431, D_fake_e : 0.017917, G_e : 1.479095
D_e : 0.251055, D_real_e : 0.214718, D_fake_e : 0.036337, G_e : 1.797188
D_e : 0.262104, D_real_e : 0.170543, D_fake_e : 0.091561, G_e : 1.273765
D_e : 0.139533, D_real_e : 0.073483, D_fake_e : 0.066050, G_e : 0.911067
D_e : 0.305103, D_real_e : 0.274273, D_fake_e : 0.030830, G_e : 1.089587
D_e : 0.389488, D_real_e : 0.329409, D_fake_e : 0.060078, G_e : 1.469555
D_e : 0.240297, D_real_e : 0.108268, D_fake_e : 0.132030, G_e : 1.447419
D_e : 0.421568, D_real_e : 0.337027, D_fake_e : 0.084541, G_e : 1.942250
D_e : 0.065272, D_real_e : 0.043749, D_fake_e : 0.021523, G_e : 1.966017
