D_e : 0.017641, D_real_e : 0.002993, D_fake_e : 0.014648, G_e : 2.800154
D_e : 0.143320, D_real_e : 0.141516, D_fake_e : 0.001804, G_e : 2.176426
D_e : 0.052075, D_real_e : 0.044498, D_fake_e : 0.007577, G_e : 2.109268
D_e : 0.020726, D_real_e : 0.014888, D_fake_e : 0.005838, G_e : 2.562091
D_e : 0.045182, D_real_e : 0.002596, D_fake_e : 0.042586, G_e : 1.906589
D_e : 0.016177, D_real_e : 0.010485, D_fake_e : 0.005692, G_e : 2.937349
D_e : 0.129914, D_real_e : 0.129439, D_fake_e : 0.000474, G_e : 2.880300
D_e : 0.035529, D_real_e : 0.008837, D_fake_e : 0.026691, G_e : 2.302704
D_e : 0.040434, D_real_e : 0.000740, D_fake_e : 0.039694, G_e : 2.280362
D_e : 0.022910, D_real_e : 0.009576, D_fake_e : 0.013335, G_e : 2.777528
D_e : 0.033754, D_real_e : 0.030624, D_fake_e : 0.003130, G_e : 3.225667
D_e : 0.012669, D_real_e : 0.008717, D_fake_e : 0.003952, G_e : 2.933624
D_e : 0.010631, D_real_e : 0.006065, D_fake_e : 0.004566, G_e : 3.218963
D_e : 0.024262, D_real_e : 0.006741, D_fake_e : 0.017522, G_e : 3.070988
D_e : 0.040575, D_real_e : 0.007609, D_fake_e : 0.032966, G_e : 2.380037
D_e : 0.021908, D_real_e : 0.015944, D_fake_e : 0.005964, G_e : 3.071546
D_e : 0.014010, D_real_e : 0.006070, D_fake_e : 0.007941, G_e : 2.838756
D_e : 0.018520, D_real_e : 0.008975, D_fake_e : 0.009546, G_e : 2.286500
D_e : 0.012377, D_real_e : 0.010056, D_fake_e : 0.002321, G_e : 3.168959
D_e : 0.028252, D_real_e : 0.014920, D_fake_e : 0.013332, G_e : 3.060491
D_e : 0.024652, D_real_e : 0.005439, D_fake_e : 0.019212, G_e : 2.876764
D_e : 0.008023, D_real_e : 0.007019, D_fake_e : 0.001004, G_e : 3.664402
D_e : 0.008618, D_real_e : 0.002949, D_fake_e : 0.005669, G_e : 2.456616
D_e : 0.003595, D_real_e : 0.001285, D_fake_e : 0.002311, G_e : 3.033481
D_e : 0.007666, D_real_e : 0.003562, D_fake_e : 0.004104, G_e : 2.881813
D_e : 0.009925, D_real_e : 0.005582, D_fake_e : 0.004342, G_e : 2.539936
D_e : 0.014843, D_real_e : 0.012697, D_fake_e : 0.002146, G_e : 3.587307
D_e : 0.010451, D_real_e : 0.008971, D_fake_e : 0.001480, G_e : 2.359997
D_e : 0.074249, D_real_e : 0.000871, D_fake_e : 0.073377, G_e : 1.358710
D_e : 0.092902, D_real_e : 0.002405, D_fake_e : 0.090497, G_e : 2.280457
D_e : 0.017018, D_real_e : 0.002276, D_fake_e : 0.014742, G_e : 2.137220
D_e : 0.018421, D_real_e : 0.015237, D_fake_e : 0.003184, G_e : 2.772213
D_e : 0.027507, D_real_e : 0.020962, D_fake_e : 0.006545, G_e : 3.607817
D_e : 0.022006, D_real_e : 0.003013, D_fake_e : 0.018993, G_e : 1.820441
D_e : 0.008236, D_real_e : 0.000821, D_fake_e : 0.007415, G_e : 2.281522
D_e : 0.014800, D_real_e : 0.002526, D_fake_e : 0.012274, G_e : 2.970937
D_e : 0.005513, D_real_e : 0.001251, D_fake_e : 0.004262, G_e : 2.968063
D_e : 0.047210, D_real_e : 0.000892, D_fake_e : 0.046319, G_e : 1.672485
D_e : 0.011883, D_real_e : 0.003317, D_fake_e : 0.008566, G_e : 3.509450
D_e : 0.045046, D_real_e : 0.041563, D_fake_e : 0.003482, G_e : 2.367739
D_e : 0.007442, D_real_e : 0.000303, D_fake_e : 0.007139, G_e : 2.490307
D_e : 0.005828, D_real_e : 0.001979, D_fake_e : 0.003850, G_e : 3.183046
D_e : 0.009565, D_real_e : 0.007519, D_fake_e : 0.002045, G_e : 2.657481
D_e : 0.009708, D_real_e : 0.005847, D_fake_e : 0.003861, G_e : 2.326963
D_e : 0.009922, D_real_e : 0.003185, D_fake_e : 0.006736, G_e : 2.660940
D_e : 0.012623, D_real_e : 0.005542, D_fake_e : 0.007081, G_e : 2.195909
D_e : 0.007758, D_real_e : 0.001440, D_fake_e : 0.006318, G_e : 3.050884
D_e : 0.097429, D_real_e : 0.002197, D_fake_e : 0.095233, G_e : 2.078425
D_e : 0.002624, D_real_e : 0.000798, D_fake_e : 0.001827, G_e : 2.520994
D_e : 0.004799, D_real_e : 0.003223, D_fake_e : 0.001576, G_e : 3.309525
D_e : 0.013658, D_real_e : 0.004444, D_fake_e : 0.009213, G_e : 2.255591
D_e : 0.017635, D_real_e : 0.014324, D_fake_e : 0.003311, G_e : 2.895780
D_e : 0.006994, D_real_e : 0.004042, D_fake_e : 0.002951, G_e : 3.405795
D_e : 0.012639, D_real_e : 0.002904, D_fake_e : 0.009735, G_e : 2.386870
D_e : 0.014228, D_real_e : 0.012476, D_fake_e : 0.001752, G_e : 3.027732
D_e : 0.004363, D_real_e : 0.003014, D_fake_e : 0.001350, G_e : 2.585108
D_e : 0.016407, D_real_e : 0.013342, D_fake_e : 0.003066, G_e : 2.097694
D_e : 0.025640, D_real_e : 0.021735, D_fake_e : 0.003905, G_e : 3.385509
D_e : 0.003912, D_real_e : 0.002548, D_fake_e : 0.001364, G_e : 2.856757
D_e : 0.007002, D_real_e : 0.004228, D_fake_e : 0.002774, G_e : 3.184012
D_e : 0.044156, D_real_e : 0.002254, D_fake_e : 0.041902, G_e : 4.030160
